uf_sigla,cod_regsaud,regiao_saude,ano,mes,quantidade
GO,52008,Norte,2021,12,130
GO,52013,São Patrício I,2021,12,149
GO,52017,Sul,2021,12,247
GO,52001,Central,2021,12,1965
GO,52014,Serra da Mesa,2021,12,135
GO,52005,Estrada de Ferro,2021,12,318
GO,52004,Entorno Sul,2021,12,1057
GO,52007,Nordeste II,2021,12,107
GO,52012,Rio Vermelho,2021,12,192
GO,52016,Sudoeste II,2021,12,298
GO,52015,Sudoeste I,2021,12,453
GO,52006,Nordeste I,2021,12,61
GO,52002,Centro Sul,2021,12,1047
GO,52010,Oeste II,2021,12,95
GO,52003,Entorno Norte,2021,12,322
GO,52009,Oeste I,2021,12,116
GO,52011,Pirineus,2021,12,571
GO,52018,São Patrício II,2021,12,186
GO,52017,Sul,2021,11,243
GO,52011,Pirineus,2021,11,584
GO,52015,Sudoeste I,2021,11,509
GO,52008,Norte,2021,11,152
GO,52005,Estrada de Ferro,2021,11,307
GO,52014,Serra da Mesa,2021,11,131
GO,52002,Centro Sul,2021,11,996
GO,52006,Nordeste I,2021,11,39
GO,52013,São Patrício I,2021,11,140
GO,52012,Rio Vermelho,2021,11,199
GO,52018,São Patrício II,2021,11,188
GO,52003,Entorno Norte,2021,11,301
GO,52009,Oeste I,2021,11,94
GO,52016,Sudoeste II,2021,11,248
GO,52001,Central,2021,11,1931
GO,52010,Oeste II,2021,11,126
GO,52004,Entorno Sul,2021,11,1005
GO,52007,Nordeste II,2021,11,97
GO,52009,Oeste I,2021,10,103
GO,52004,Entorno Sul,2021,10,1002
GO,52005,Estrada de Ferro,2021,10,310
GO,52007,Nordeste II,2021,10,135
GO,52015,Sudoeste I,2021,10,487
GO,52018,São Patrício II,2021,10,172
GO,52006,Nordeste I,2021,10,55
GO,52010,Oeste II,2021,10,117
GO,52003,Entorno Norte,2021,10,311
GO,52001,Central,2021,10,2085
GO,52014,Serra da Mesa,2021,10,119
GO,52011,Pirineus,2021,10,560
GO,52016,Sudoeste II,2021,10,275
GO,52012,Rio Vermelho,2021,10,165
GO,52013,São Patrício I,2021,10,148
GO,52002,Centro Sul,2021,10,1011
GO,52017,Sul,2021,10,252
GO,52008,Norte,2021,10,140
GO,52007,Nordeste II,2021,09,116
GO,52017,Sul,2021,09,250
GO,52008,Norte,2021,09,142
GO,52002,Centro Sul,2021,09,1015
GO,52006,Nordeste I,2021,09,58
GO,52013,São Patrício I,2021,09,145
GO,52003,Entorno Norte,2021,09,308
GO,52016,Sudoeste II,2021,09,270
GO,52011,Pirineus,2021,09,641
GO,52015,Sudoeste I,2021,09,490
GO,52014,Serra da Mesa,2021,09,106
GO,52009,Oeste I,2021,09,93
GO,52018,São Patrício II,2021,09,167
GO,52010,Oeste II,2021,09,114
GO,52012,Rio Vermelho,2021,09,185
GO,52001,Central,2021,09,2027
GO,52004,Entorno Sul,2021,09,1067
GO,52005,Estrada de Ferro,2021,09,330
GO,52017,Sul,2021,08,248
GO,52001,Central,2021,08,1936
GO,52015,Sudoeste I,2021,08,464
GO,52005,Estrada de Ferro,2021,08,293
GO,52012,Rio Vermelho,2021,08,188
GO,52011,Pirineus,2021,08,635
